Paese,Nome scuola,Indirizzo,Grado,Forma,Sito,Telefono,Mail,Aiuto disabilità
Villafranca,Maria Bambina - Istituto Canossiano,Via Messedaglia 146,Infanzia,Privata,http://www.canossianevilla.it/wp/ ,045 6300976,segreteriainfanzia@canossianevilla.it,non specificato
Villafranca,San Gaetano,Piazza 24 Febbraio 5,Infanzia,Privata,https://www.asilosangaetano.org/ ,045 854 7005,info@asilogaetano.org,si
Villafranca,Ebe e Aleardo Franchini,Via Tito Speri 17,Infanzia,Privata,https://www.maternaquaderni.it/ ,045 794 0112,,non specificato
Villafranca,Don Geremia Cordioli,Via Borgo Milano 22,Infanzia,Privata,http://dongeremia.altervista.org/ ,045 7900441,scuoladongeremia@libero.it,non specificato
Villafranca,Santa Maria Goretti,Via Piave 2,Infanzia,Privata,https://www.maternapizzoletta.it/it/ ,045 633 6525,info@maternapizzoletta.it,non specificato
Villafranca,Luigi e Stella Mariotto,Via Carlo Alberto 22,Infanzia,Privata,https://www.infanziaenidoalpo.it/ ,045 513121,info@infanziaenidoalpo.it,non specificato
Villafranca,Maria Zoccatelli,Piazza Don Girelli 4,Infanzia,Privata,https://www.zoccatellidossobuono.it/ ,045 513123,MATERNADOSSOBUONO@GMAIL.COM,non specificato
Villafranca,Gaetano Bellotti,Corso Vittorio Emanuele 113,Primaria,Pubblica,https://www.schoolvisor.it/it-it/scuola/19862/verona/ic-villafranca-cavalchini-moro/villafranca-g-bellotti ,045 7900185,Vric86800n@istruzione.it,si
Villafranca,Cesare Marchi,Via Antonio Gramsci,Primaria,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE86803T/pizzoletta-c-marchi/ ,045 7900185,Vric86800n@istruzione.it,si
Villafranca,Edmondo De Amicis,Via Edmondo De Amicis 7,Primaria,Pubblica,https://www.paginegialle.it/villafranca-di-verona-vr/scuole-pubbliche/istituto-comprensivo-cavalchini-moro-villafranca-di-verona ,045 7900185,Vric86800n@istruzione.it,si
Villafranca,Anna Frank,Via Principe Amedeo,Primaria,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE86805X/rosegaferro-frank-anna/,045 7902265,VRIC86800N@istruzione.it,si
Villafranca,Dante Alighieri,Via Prina 63,Primaria,Pubblica,https://www.paginegialle.it/villafranca-di-verona-vr/comune/dante-alighieri ,045 7900185,Vric86800n@istruzione.it,si
Villafranca,Don Calabria,Via Federico di Saluzzo,Primaria,Pubblica,https://www.icdossobuono.edu.it/pagine/contatti-don-giovanni-calabria-1 ,045/513138,vric86700t@istruzione.it,si
Villafranca,Vittorio Locchi,Viale Europa 33,Primaria,Pubblica,https://www.icdossobuono.edu.it/pagine/scuola-primaria-v-locchi ,045/513138,vric86700t@istruzione.it,non specificato
Villafranca,Giacomo Zanella,Strada La Rizza,Primaria,Pubblica,https://www.icdossobuono.edu.it/pagine/scuola-primaria-g-zanella ,045/513138,vric86700t@istruzione.it,non specificato
Villafranca,Istituto Canossiano,Via Messedaglia 146,Primaria,Privata,https://www.canossianevillaprimaria.it/ ,045 6300976,segreteriaprimaria@canossianevilla.it,non specificato
Villafranca,Cavalchini Moro,Via Marconi 3,Secondaria I Grado,Pubblica,https://icsvillafranca.edu.it/ ,045 7900158,VRIC86800N@istruzione.it,non specificato
Villafranca,Rita Levi Montalcini,Via dei Mille,Secondaria I Grado,Pubblica,https://www.icdossobuono.edu.it/pagine/scuola-secondaria-1-grado-rita-levi-montalcini ,045/513138,vric86700t@istruzione.it, non specificato
Villafranca,Don Allegri,Via Aldo Rizzini 4,Secondaria I Grado,Privata,http://www.donallegri.it/ ,045 6302774,segreteria@donallegri.it e presidenza@donallegri.it,si
Villafranca,Liceo Enrico Medi,Via Magenta 9,Secondaria II Grado,Pubblica,https://www.liceomedivr.edu.it/ ,045-7902067,vrps06000l@istruzione.it,si
Villafranca,ISISS Carlo Anti,Via Magenta 3,Secondaria II Grado,Pubblica,https://www.carloanti.edu.it/ ,045 6303088,didattica@carloanti.it,si
Villafranca,IS Ettore Bolisani,Via Magenta,Secondaria II Grado,Pubblica,https://www.istitutobolisani.edu.it/ ,045 7300922,vris011002@istruzione.it,si
Villafranca,IPSAR Stefani Bentegodi,Via Ospedale,Secondaria II Grado,Pubblica,https://www.stefanibentegodi.edu.it/ ,045 7300252/639,vris01200t@istruzione.it,non specificato
Villafranca,ENGIM Veneto SF Scaligera Formazione Verona,Via Novara,CFP,Pubblica,https://scaligera-formazione.engimveneto.org/ ,045 7900644,villafranca@engimvr.it,non specificato
Bussolengo,Asilo Nido Il Germoglio,Piazza Monsignor Bacilieri 5,Asilo nido,Pubblica,https://www.sportellofamigliabussolengo.it/asilo-nido-comunale-il-germoglio/,056 6702893,nidoilgermoglio@gmail.com,non specificato
Bussolengo,Asilo Nido Il Mondo Delle Fiabe,Via Mastino Primo della Scala 6/8,Asilo nido,Privata,https://www.nidoilmondodellefiabe.it/,045 2820279,ilmondodellefiabe@gmail.com,non specificato
Bussolengo,'Asilo Nido L''albero Azzurro Di Comencini Cinzia',Piazza Danese Emilio 11,Asilo nido,Privata,https://www.nidolalberoazzurro.it/ ,045 6700124,micronidolalberoazzurro@gmail.com,non specificato
Bussolengo,Micronido Il Paese Degli Elfi,Piazzale Vittorio Veneto 82,Asilo nido,Privata,https://www.facebook.com/MicroNidoIlPaeseDegliElfi/ ,347 178 1365,ilpaesedeglielfi@libero.it,non specificato
Bussolengo,'La Casa Dell''arcobaleno',Via Giovanni Falcone 8  loc. S.Vito al Mantico,Asilo nido,Privata,https://www.nidobaleno.it/ ,340 1035665,,non specificato
Bussolengo,La Giostra,Via Marmolada 27,Infanzia,Pubblica,https://www.icbussolengo.it/pagine/la-giostra ,045-6702883,vric81300d@istruzione.it,non specificato
Bussolengo,Il Gabbiano,Via Marmolada 27,Infanzia,Pubblica,https://www.icbussolengo.it/pagine/il-gabbiano ,045-6702883,vric81300d@istruzione.it,non specificato
Bussolengo,'L''albero',Via Mazzini 170,Infanzia,Pubblica,https://www.icbussolengo.it/pagine/lalbero ,045-6700224,vric81300d@istruzione.it,non specificato
Bussolengo,Il Fiore,Via Piemonte 97,Infanzia,Pubblica,https://www.icbussolengo.it/pagine/il-fiore ,045-6702555,vric81300d@istruzione.it,non specificato
Bussolengo,San Valentino,Via Marmolada 27,Infanzia,Pubblica,https://www.icbussolengo.it/pagine/san-valentino ,045-6702883,vric81300d@istruzione.it,non specificato
Bussolengo,Piccolo Principe,Via Verona 2,Infanzia,Privata,http://www.piccoloprincipebussolengo.it/ ,045 6704288,info@piccoloprincipebussolengo.it,non specificato
Bussolengo,Fondazione Mons. Angelo Bacilieri,Piazza Mons. Bacilieri 4,Infanzia,Privata,http://www.scuolabacilieri.it/ ,045 7150376,scuolabacilieri@gmail.com,non specificato
Bussolengo,Beni Montresor,Via Martiri delle Foibe 30,Primaria,Pubblica,https://www.icbussolengo.it/pagine/beni-montresor ,045-7156673,vric81300d@istruzione.it,non specificato
Bussolengo,Citella,Via Citella 48,Primaria,Pubblica,https://www.icbussolengo.it/pagine/citella ,045-6702880,vric81300d@istruzione.it,non specificato
Bussolengo,Lorenzo Calabrese - S.Vito,Via Piemonte 97,Primaria,Pubblica,https://www.icbussolengo.it/pagine/l-calabrese ,045-6702943,vric81300d@istruzione.it,non specificato
Bussolengo,Istituto Marie Curie - Sede Bussolengo,Via Carlo Alberto Dalla Chiesa 10,Secondaria II Grado,Pubblica,https://www.iismariecurievr.edu.it/ ,045/6270680,vris017001@istruzione.it,si
Castelnuovo,Scuola Primaria G.B. Angelini,Via Cesare Pavese 6 37014 Castelnuovo del Garda VR,Primaria,Pubblica,https://www.scuolacastelnuovodg.edu.it/index.php?idpag=1624 ,045 645 07 33,info@scuolacastelnuovodg.edu.it,non specificato
Castelnuovo,Scuola Dell'Infanzia Xi Aprile 1848,Via Cesare Pavese 10 37014 Castelnuovo del Garda VR,Infanzia,Privata,https://www.infanziacastelnuovo.it/ ,045 7571275,scuolamaternavr@libero.it,non specificato
Castelnuovo,Asilo Nido Comunale Castelfiorito,Via Cesare Pavese 8 37014 Castelnuovo del Garda VR,Asilo nido,Pubblica,https://www.linfanzia.it/servizi-offerti/asilo-nido-castelfiorito/ ,045.75 71 289,castelfiorito@linfanzia.it,non specificato
Castelnuovo,Scuola dell'Infanzia SS. Innocenti Sandrà,Via Don L. Milani 2 37014 Sandrà VR,Infanzia,Privata,https://ssinnocenti.wordpress.com/ ,045 7595060,info@scuolainnocenti.it,non specificato
Castelnuovo,Scuola Primaria Pietro Caliari,P. Repubblica 3 37014 Sandrà  VR,Primaria,Pubblica,https://www.ic16verona.edu.it/pagine/scuola-p-caliari ,0458700503 - 0458700303,segreteria@ic16verona.edu.it,si
Castelnuovo,Scuola Primaria San Lorenzo,Piazza Berto Barbarani 1 37014 Cavalcaselle VR,Infanzia,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE837025/scuola-primaria-san-lorenzo/ ,045 7570117,VRIC837002@istruzione.it,si
Castelnuovo,Scuola Materna Don Giuseppe Manganotti,Piazza Berto Barbarani 3 37014 Cavalcaselle VR,Infanzia,Privata,https://www.scuolamanganotti.com/ ,045 7550610,segreteria@scuolamanganotti.it,non specificato
Castelnuovo,Asilo Nido La Pigotta,'Via dell''Artigliere 2 37014 Castelnuovo del Garda VR',Infanzia,Privata,https://www.facebook.com/100057139522739/ ,045 757 1254,lapigotta@libero.it,non specificato
Castelnuovo,Istituto Comprensivo A. Montini,Viale degli studi 1 37014 Castelnuovo del Garda VR,Secondaria I Grado,Pubblica,https://www.scuolacastelnuovodg.edu.it/ ,045 7570117,info@scuolacastelnuovodg.edu.it,non specificato
Lazise,I.C. Falcone Borsellino - Scuola Primaria Valerio Catullo,Via Salvo D'Acquisto 22 Lazise,Primaria,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/BSMM8AA01R/valerio-catullo/ ,03 09141359,BSIC8AA00Q@istruzione.it,si
Lazise,I.C. Falcone Borsellino - Scuola secondaria 1° grado Nazario Sauro,Via Salvo D'Acquisto 22 Lazise,Secondaria I Grado,Pubblica,http://www.icnazariosauro.edu.it/ ,02 88444486,miic8fy00n@istruzione.it,si
Lazise,I.C. Falcone Borsellino - Scuola Primaria ,Via M. Montessori 2 Cola’  di Lazise,Primaria,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE83403P/cola-pacengo/,045 7210155,VRIC83400E@istruzione.it,si
Lazise,Scuola dell'Infanzia Giandanese Bernini,Via Pra’  del Principe Lazise,Infanzia,Privata,https://www.giandanesebernini.com/ ,045 7580091,scuolagiandanesebernini@gmail.com,non specificato
Lazise,Scuola dell'Infanzia San Giorgio Martire,Via dei Miniscalchi Cola’  di Lazise,Infanzia,Privata,https://scuolainfanziacola.it/ ,045 7590072,scuolamaternacola@virgilio.it,si
Lazise,Scuola dell'Infanzia Mater Amabilis,Via Porto Pacengo,Infanzia,Privata,https://www.maternanidopacengo.it/ ,045 759 0068,maternanidopacengo@gmail.com,non specificato
Lazise,Nido Integrato Mater Amabilis,Via Porto Pacengo,Asilo nido,Privata,https://www.maternanidopacengo.it/ ,045 759 0068,maternanidopacengo@gmail.com,non specificato
Lazise,Asilo Nido Il Girasole,Via Pergole Lazise,Asilo nido,Privata,https://www.asilonidoilgirasole.it/ ,045 647 0500,info@asilonidoilgirasole.it,non specificato
Mozzecane,Scuola Primaria Paolo Caliari,Via Gino Ferroni 4,Primaria,Pubblica,https://www.icmozzecane.edu.it/scuola-primaria-mozzecane ,045 7930050,vric895002@istruzione.it,si
Mozzecane,Scuola Secondaria di primo grado Italo Montemezzi,Via XXV Aprile snc,Secondaria I Grado,Pubblica,In aggiornamento per Info contattare Comune Mozzecane,In aggiornamento per Info contattare Comune Mozzecane,In aggiornamento per Info contattare Comune Mozzecane,
Mozzecane,Scuola dell'Infanzia Benigno Zaccagnini,Via dell'Aviatore,Infanzia,Privata,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VR1AZQ500Q/scuola-dellinfanzia-scuola-comunale-benigno-zaccag/ ,03 357862514,SOLCOVR@OMNIPEC.IT,non specificato
Mozzecane,Scuola dell'Infanzia Beato Giuseppe Baldo,Via Crocetta 1,Infanzia,Privata,https://www.comunemozzecane.it/it/point-of-interest/scuola-materna-privata-beato-giuseppe-baldo ,045 7975323,protocollo@comunemozzecane.it,non specificato
Mozzecane,Scuola dell’infanzia Francesco Miniscalchi,Via Francesco Miniscalchi 2,Infanzia,Privata,https://www.paginegialle.it/mozzecane-vr/scuole-pubbliche/scuola-infanzia-paritaria-miniscalchi-erizzo ,045 5547305,scuolamaternaszeno@libero.it,non specificato
Mozzecane,asilo nido La caramella,Via Caterina Bon Brenzoni 78,Asilo nido,Privata,https://www.facebook.com/asilonidolacaramella/?locale=it_IT ,045 634 0825,asilonidolacaramella@alice.it,non specificato
Mozzecane,Asilo nido Il cavalluccio marino,Via Paolo Borsellino 2B,Asilo nido,Privata,https://www.facebook.com/asilonidoilcavallucciomarino/?locale=it_IT ,045 634 0511,info@ilcavallucciomarino.eu,non specificato
Mozzecane,Steiner-Waldorf,Località  Laura 3,Infanzia,Privata,http://www.scuolawaldorfverona.it/it/contattaci ,045 55 49 256,segreteria@scuolawaldorfverona.it,non specificato
Mozzecane,Steiner-Waldorf,Località  Laura 3,Primaria,Privata,http://www.scuolawaldorfverona.it/it/contattaci ,045 55 49 256,segreteria@scuolawaldorfverona.it,non specificato
Mozzecane,Steiner-Waldorf,Località  Laura 4,Secondaria I Grado,Privata,http://www.scuolawaldorfverona.it/it/contattaci ,045 55 49 256,segreteria@scuolawaldorfverona.it,non specificato
Mozzecane,Istituto delle Poverette della Casa Nazareth,Via Duca degli Abruzzi 5,CFP,Privata,http://www.casanazareth.it/ ,045 68 61 088,info@casanazaret.it,non specificato
Pastrengo,Scuola Primaria Negri di Sanfront di Pastrengo,Via 1° Maggio 1 - Pastrengo (VR) Italy ,Primaria,Pubblica,https://iccavaion.edu.it/primaria-pastrengo ,045 717 03 87,primaria.pastrengo@iccavaion.edu.it,non specificato
Pastrengo,Scuola Secondaria di 1 grado Negri di Sanfront di Pastrengo,Via 1° Maggio 1 - Pastrengo (VR) Italy ,Secondaria I Grado,Pubblica,https://iccavaion.edu.it/secondaria-pastrengo ,045 717 01 87,secondaria.pastrengo@iccavaion.edu.it,non specificato
Pescantina,Asilo Nido Comunale I Molini dell'Adige,Via Belvedere 30 37026 Pescantina,Asilo Nido,Pubblica,https://azalea.coop/asilo-nido-comunale-mulini-delladige/ ,045 575388,info@azalea.coop,si
Pescantina,Scuola infanzia di Arcè John F. Kennedy,Via Belvedere 51 37026 Pescantina,Infanzia,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VRAA899016/kennedy-jf-arce/ ,045 715 2381,VRIC899009@istruzione.it,si
Pescantina,Scuola infanzia di S. Lucia ,Via Don Morandin 7 37026 Pescantina,Infanzia,Pubblica,https://www.ic1pescantina.edu.it/pagine/infanzia-santa-lucia ,045 7152383,vric899009@istruzione.it,si
Pescantina,Scuola infanzia di Settimo Silvia Sartori,Via dei Pini 43 37026 Pescantina,Infanzia,Pubblica,https://www.scuolestatali.eu/scuole_statali/scheda/silvia-sartori-settimo/70905 ,045 7152143,Vree061001@istruzione.it,si
Pescantina,Scuola infanzia di Balconi Calabrese Lorenzo,Via Siedlce 4 37026 Pescantina,Infanzia,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VRAA836013/balconi-l-calabrese/,045 7150482,vric836006@istruzione.it,si
Pescantina,Scuola dell'Infanzia Scuola Infanzia San Luigi Piccola Casa Della Divina Provvidenza Cottolengo,Corso San Lorenzo 25 37026 Pescantina,Infanzia,Privata,https://pescantina.scuolacottolengo.org/ ,045.7150759,sanluigi.pescantina@cottolengo.org,non specificato
Pescantina,Scuola primaria del capoluogo Alunni d'Europa,Via Ponte 156 37026 Pescantina,Primaria,Pubblica,https://www.tuttitalia.it/veneto/60-pescantina/25-scuole/scuola-primaria/ ,045 7150742,vric899009@istruzione.it,si
Pescantina,Scuola primaria di Settimo F. Baracca,Via Mons Vicentini 13 37026 Pescantina,Primaria,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE836029/fbaracca-settimo/ ,045 7150482,VRIC836006@istruzione.it,si
Pescantina,Scuola di Pescantina Ippolito Pindemonte,Via Borgo 70 37026 Pescantina,Secondaria di Primo Grado,Pubblica,https://www.ic1pescantina.edu.it/ ,045 7150742,vric899009@istruzione.it,non specificato
Pescantina,Scuola secondaria di primo grado di Ospedaletto,Via Montindon 3 37026 Pescantina,Secondaria di Primo Grado,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/RNMM820014/scuola-sec-i-grado-ospedaletto/ ,054 1657155,RNIC820003@istruzione.it,si
Pescantina,Scuola Bambi&Bimbi,Via Don Milani 4 - Pescantina,Infanzia,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,045-7158795,asilo.bambi@gmail.com,si
Pescantina,Scuola Bambi&Bimbi,Via Don Milani 4 - Pescantina,Primaria,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,045-8942711,primaria.bambi@gmail.com,si
Pescantina,Don Lorenzo Milani bilingual school,Via Mirandola 61 Pescantina,Secondaria I Grado,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,045-8942300,secondaria.donmilani@gmail.com,si
Sommacampagna,Scuola dell'infanzia Statale Il Girasole,Piazzale della Pace 1 37066 Sommacampagna,Infanzia,Statale,https://www.icsommacampagna.edu.it/scuola-infanzia-il-girasole/ ,045 8961385,vric85400q@istruzione.it,non specificato
Sommacampagna,Scuola Primaria Don L. Milani,Via Bassa 6 37066 Sommacampagna VR,Primaria,Statale,https://www.icsommacampagna.edu.it/scuola-primaria-don-lorenzo-milani/ ,045 515162,vric85400q@istruzione.it,non specificato
Sommacampagna,Scuola Primaria San Domenico Savio,Via Roma 114 37066 Caselle - Sommacampagna VR,Primaria,Statale,https://www.icsommacampagna.edu.it/scuola-primaria-san-domenico-savio-caselle/ ,045 8581048,vric85400q@istruzione.it,non specificato
Sommacampagna,Scuola Secondaria di Primo Grado Dante Alighieri,Via Campagnol 8 37066 Sommacampagna VR,Secondaria di Primo Grado,Statale,https://www.icsommacampagna.edu.it/scuola-secondaria-dante-alighieri-di-sommacampagna/ ,045 515464,vric85400q@istruzione.it,non specificato
Sommacampagna,Scuola Secondaria di Primo Grado Caselle,Via Don Luigi Bogoni -37066 Caselle - Sommacampagna,Secondaria di Primo Grado,Statale,https://www.icsommacampagna.edu.it/scuola-secondaria-di-caselle-sommacampagna/ ,045 8580103,vric85400q@istruzione.it,non specificato
Sommacampagna,Associazione Scuola Materna Giannantonio Campostrini,Via Parco della Rimembranza 2 37066 Sommacampagna VR,Infanzia,Paritaria,https://www.scuolamaternacampostrini.it/ ,045 8961645,direzione-segreteria@scuolamaternacampostrini.it,non specificato
Sommacampagna,Scuola dell'Infanzia Ad Onore degli Eroi,Via Roma 110 37066 Caselle â€“ Sommacampagna,Infanzia,Paritaria,https://www.scuolainfanziacaselle.com/contatti ,045 85 81 176,info@scuolainfanziacaselle.com,non specificato
Sommacampagna,Scuola Materna Divina Provvidenza,Via XXIV Giugno n. 11 37066 Custoza Sommacampagna VR,Infanzia,Paritaria,https://it-it.facebook.com/ASILO.CUSTOZA/ ,045 516080,segreteria@infanziacustoza.it,non specificato
Sommacampagna,Centro Infanzia Terre d'Infanzia,Via Longo 24 37066 Sommacampagna VR,infanzia,Paritaria,https://www.linfanzia.it/servizi-offerti/terre-dinfanzia/ ,045 51 07 52,terre@linfanzia.it,si
Valeggio,Istituto Comprensivo Statale Graziella Murari,VIA BERTO BARBARANI 4 Valeggio sul Mincio,Secondaria I Grado,Pubblica,https://icvaleggio.edu.it/ ,045 7950034,vric865006@istruzione.it,non specificato
Valeggio,Istituto Comprensivo Statale Graziella Murari,VIA BERTO BARBARANI 4 Valeggio sul Mincio,Primaria,Pubblica,https://icvaleggio.edu.it/ ,045 7950082,vric865006@istruzione.it,non specificato
Valeggio,Scuola Infanzia Parrocchiale,Via G. Marconi 22 Valeggio sul mincio,Infanzia,Privata,https://www.scuolaparrocchialevaleggio.it/ ,045 7950361,materna.valeggio@davide.it,si
Valeggio,Scuola Infanzia Statale Gasilda Poli Di Salionze,Via A. del Bue 1 Valeggio sul mincio,Infanzia,Pubblica,https://www.comune.valeggiosulmincio.vr.it/it/page/scuole-dell-infanzia ,045 6339840,vric865006@istruzione.it,non specificato
Valeggio,Scuola Infanzia Statale Ca' Prato,Via Ca' Prato Valeggio sul mincio,Infanzia,Pubblica,https://icvaleggio.edu.it/ca-prato ,045 7945258,vric865006@istruzione.it,non specificato
Valeggio,Scuola Infanzia Statale Valeggio Sul Mincio,Via degli Alpini 1 Valeggio sul mincio',Infanzia,Pubblica,https://www.comune.valeggiosulmincio.vr.it/it/page/scuole-dell-infanzia ,045 7950034,vric865006@istruzione.it,non specificato
Valeggio,GattoNando,Via degli Alpini 3 Valeggio sul mincio,Asilo nido,Pubblica,https://www.tangramvaleggio.it/asilo-nido-valeggio-gattonando/ ,045 7951343,info@tangramvaleggio.it,non specificato
Valeggio,Gli Gnomi,Loc. Vanoni-Remelli 56 Valeggio sul mincio',Asilo nido,Pubblica,https://www.comune.valeggiosulmincio.vr.it/it/page/asili-nido-comunali ,045 7965149,spazioaperto@allcoop.it,non specificato
Valeggio,Ipsar Luigi Carnacina ,Via Trieste 27 37067 Valeggio sul Mincio VR,Secondaria II Grado,Pubblica,https://www.carnacina.edu.it/ ,045 621 33 11 ,alberghiero@carnacina.edu.it,si
Vigasio,Micronido Oasi del sorriso,Via Cesare Battisti n. 3A,Asilo nido,Privata,https://www.oasidelsorriso-vigasio.it/ ,045 7364228,mara.zaffani@hotmail.it,si
Vigasio,Asilo nido Il piccolo puzzle,Via San Martino n. 14,Asilo nido,Privata,https://www.facebook.com/IlPiccoloPuzzle/?locale=it_IT ,045 668 5769,ilpiccolopuzzle@csa-coop.it,non specificato
Vigasio,Fondazione Don Gedeone Massaggia,Via Asilo n.7,Infanzia,Privata,https://www.donmassaggia.it/ ,045-736-3115,info@donmassaggia.it,non specificato
Vigasio,Scuola Materna Maria Ausiliatrice,Via San Martino n. 16,Infanzia,Privata,https://www.infanziavillatora.it/ ,049 640131,scuolamaterna.villatora@gmail.com,non specificato
Vigasio,Scuola Materna di Isolalta,Via Villafranca n. 76,Infanzia,Privata,http://www.scuolainfanziaisolalta.it/la-scuola/ ,045 6699133,maternaisolalta@tiscali.it,non specificato
Vigasio,Scuola materna statale Arcobaleno,Viale Bassini n. 1,Infanzia,Pubblica,https://www.icvigasio.edu.it/ ,045 7363136,VRIC89600T@istruzione.it,si
Vigasio,Scuola primaria Italo Montemezzi,Viale Bassini n. 4,Primaria,Pubblica,https://www.icvigasio.edu.it/ ,045 7363136,VRIC89600T@istruzione.it,si
Vigasio,Scuola secondaria di primo grado di Vigasio,Viale Bassini n. 6,Secondaria I Grado,Pubblica,https://www.icvigasio.edu.it/ ,045 7363136,VRIC89600T@istruzione.it,si
